endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,clusters,new_gen
2021-05-10 02:46:00,ROSÉ,On The Ground,1120,0.311,0.607,1.0,-6.577999999999999,1.0,0.11,0.0174,0.0,0.131,0.286,188.7,168086.0,4.0,rosé,4,j-pop
2021-05-10 02:46:00,yama,Haru wo Tsugeru,940,0.5479999999999999,0.871,11.0,-5.377000000000002,1.0,0.123,0.0397,0.0,0.357,0.487,120.009,196497.0,4.0,stoner rock,5,rock
2021-05-10 02:46:00,eill,踊らせないで,570,0.736,0.705,11.0,-5.816,1.0,0.0312,0.0285,0.0,0.0725,0.84,106.99,227161.0,4.0,japanese,5,rock
2021-05-10 02:46:00,KEY,Show Me,560,0.857,0.861,10.0,-3.676,0.0,0.0467,0.0977,0.0,0.312,0.946,118.966,186747.0,4.0,neofolk,14,funk
2021-05-10 02:46:00,たかやん,Just disappear,670,0.675,0.578,8.0,-4.385,0.0,0.0468,0.581,0.0,0.209,0.943,200.306,154866.0,4.0,japanese,1,k-pop
2021-05-10 02:46:00,SHINee,Days and Years,1070,0.637,0.812,0.0,-3.843,0.0,0.0661,0.491,0.0,0.106,0.727,94.974,236907.0,4.0,k-pop,7,lo-fi
2021-05-10 02:46:00,BOL4,To My Youth,670,0.424,0.564,9.0,-4.619,1.0,0.0563,0.685,0.0,0.292,0.441,173.334,222680.0,4.0,indie,3,indie pop
2021-05-10 02:46:00,Vaundy,東京フラッシュ,710,0.628,0.634,2.0,-5.507999999999999,1.0,0.0322,0.00255,7.24e-06,0.0456,0.606,97.99,258859.0,4.0,japanese,6,japanese
2021-05-10 02:46:00,Masaki Suda,スプリンター,630,0.51,0.872,0.0,-5.026,1.0,0.0536,0.017,0.0,0.0846,0.62,167.02599999999995,336280.0,4.0,j-pop,7,lo-fi
2021-05-10 02:46:00,Life of Hojj,Average Chick (feat. Crucial Star),0,0.898,0.51,1.0,-7.997000000000001,1.0,0.1669999999999999,0.425,0.0,0.105,0.525,110.001,229590.0,4.0,rap,4,j-pop
2021-05-10 02:50:00,Yoh kamiyama,色香水,250792,0.613,0.857,7.0,-5.272,1.0,0.0271,0.0686,7.929999999999999e-05,0.256,0.698,147.974,250792.0,4.0,j-pop,2,indie
2021-05-10 02:54:00,10cm,Nothing Without You,258186,0.611,0.26,1.0,-7.606,1.0,0.03,0.347,0.0,0.0915,0.125,135.903,258187.0,3.0,korean,11,pop
2021-05-10 02:59:00,indigo la End,夏夜のマジック,305640,0.465,0.818,2.0,-3.855,0.0,0.0385,0.222,0.0,0.216,0.669,80.024,305640.0,4.0,japanese,6,japanese
2021-05-10 03:03:00,Masaki Suda,糸,202000,0.454,0.584,8.0,-4.498,1.0,0.0259,0.403,0.0,0.125,0.309,144.063,204587.0,4.0,j-pop,1,k-pop
2021-05-10 03:08:00,AAA,恋音と雨空,316400,0.631,0.857,1.0,-4.7,1.0,0.0314,0.174,0.0,0.407,0.498,129.058,316400.0,4.0,j-pop,4,j-pop
2021-05-10 03:11:00,ヨルシカ,ただ君に晴れ,198971,0.679,0.8340000000000001,5.0,-3.2230000000000003,1.0,0.032,0.343,5.74e-06,0.119,0.962,139.996,198971.0,4.0,j-pop,13,electro
2021-05-10 04:53:00,John Park,March Lover,104719,0.693,0.602,0.0,-3.649,1.0,0.037,0.0385,2.15e-05,0.1,0.573,100.016,225000.0,4.0,korean,7,lo-fi
2021-05-10 04:54:00,Twenty One Pilots,Cancer,5830,0.652,0.295,2.0,-11.045,1.0,0.0477,0.281,1.03e-05,0.0809,0.196,75.065,236827.0,4.0,alternative,6,japanese
2021-05-10 04:54:00,The Band CAMINO,See Through,950,0.5770000000000001,0.8109999999999999,2.0,-5.122999999999998,1.0,0.075,0.0394,0.0,0.11,0.6659999999999999,92.002,181421.0,4.0,indie rock,6,japanese
2021-05-10 04:54:00,Why Don't We,Fallin’ (Adrenaline),1810,0.606,0.9,0.0,-4.504,1.0,0.119,0.0101,0.0,0.075,0.233,133.963,216504.0,4.0,pop,7,lo-fi
2021-05-10 05:05:00,Henry Young,Honestly,30680,0.6709999999999999,0.6890000000000001,1.0,-4.208,0.0,0.0442,0.275,0.0,0.126,0.405,154.97799999999995,165677.0,4.0,pop,4,j-pop
2021-05-10 05:05:00,Vaundy,東京フラッシュ,2480,0.628,0.634,2.0,-5.507999999999999,1.0,0.0322,0.00255,7.24e-06,0.0456,0.606,97.99,258859.0,4.0,japanese,6,japanese
2021-05-10 05:09:00,John Park,March Lover,1010,0.693,0.602,0.0,-3.649,1.0,0.037,0.0385,2.15e-05,0.1,0.573,100.016,225000.0,4.0,korean,7,lo-fi
2021-05-10 05:09:00,Aimer,ever after,236293,0.491,0.638,8.0,-5.752999999999999,1.0,0.0623,0.21,0.0,0.346,0.368,176.05900000000003,236293.0,4.0,j-pop,1,k-pop
2021-05-10 05:09:00,AAA,愛してるのに、愛せない,13176,0.568,0.81,5.0,-4.17,1.0,0.0334,0.0764,0.0,0.161,0.489,112.021,300134.0,4.0,j-pop,13,electro
2021-05-10 05:13:00,SHINee,Days and Years,236906,0.637,0.812,0.0,-3.843,0.0,0.0661,0.491,0.0,0.106,0.727,94.974,236907.0,4.0,k-pop,7,lo-fi
2021-05-10 05:16:00,Gen Hoshino,SUN,610,0.782,0.684,1.0,-5.774,1.0,0.0398,0.021,0.0,0.125,0.858,108.171,241467.0,4.0,japanese,4,j-pop
2021-05-10 05:16:00,KEY,Show Me,620,0.857,0.861,10.0,-3.676,0.0,0.0467,0.0977,0.0,0.312,0.946,118.966,186747.0,4.0,neofolk,14,funk
2021-05-10 05:16:00,Life of Hojj,Average Chick (feat. Crucial Star),211643,0.898,0.51,1.0,-7.997000000000001,1.0,0.1669999999999999,0.425,0.0,0.105,0.525,110.001,229590.0,4.0,rap,4,j-pop
2021-05-10 05:21:00,Yoh kamiyama,生絲,264386,0.68,0.7070000000000001,8.0,-5.287000000000001,0.0,0.0336,0.184,0.0,0.296,0.602,127.92,264387.0,4.0,j-pop,1,k-pop
2021-05-10 15:52:00,Motherfolk,Kill the Sun,910,0.499,0.7859999999999999,7.0,-6.03,1.0,0.0574,0.0938,0.0,0.259,0.422,97.014,208773.0,4.0,indie rock,2,indie
2021-05-10 15:52:00,New Dialogue,Flesh & Blood (feat. Smallpools),650,0.677,0.737,4.0,-6.143,1.0,0.0623,0.525,0.0,0.139,0.7829999999999999,115.954,178966.0,4.0,rock,0,korean
2021-05-10 15:52:00,Why Don't We,Fallin’ (Adrenaline),2110,0.606,0.9,0.0,-4.504,1.0,0.119,0.0101,0.0,0.075,0.233,133.963,216504.0,4.0,pop,7,lo-fi
2021-05-10 15:52:00,Half the Animal,Hi Lo,550,0.475,0.848,9.0,-5.535,0.0,0.263,0.00234,0.0,0.113,0.581,99.963,202922.0,4.0,alternative,3,indie pop
2021-05-10 15:52:00,10cm,한강의 작별 The Han's Farewell,217923,0.5920000000000001,0.36,9.0,-7.443,1.0,0.0254,0.0759,0.0,0.228,0.272,93.936,225400.0,4.0,korean,3,indie pop
2021-05-10 15:55:00,Allstar Weekend,Do It 2 Me,200053,0.593,0.872,11.0,-3.995,1.0,0.083,0.127,0.0,0.241,0.884,130.977,200053.0,4.0,pop,5,rock
2021-05-10 15:59:00,DAY6,Zombie - English Ver.,16263,0.787,0.5760000000000001,0.0,-4.082,1.0,0.0402,0.0071,0.0,0.116,0.527,121.968,209259.0,4.0,korean,7,lo-fi
2021-05-10 15:59:00,Stop Light Observations,h d w g h ?,229243,0.627,0.733,0.0,-3.673,1.0,0.0312,0.763,5.65e-06,0.0409,0.336,97.055,229243.0,4.0,indie,7,lo-fi
2021-05-10 15:59:00,Panic! At The Disco,House of Memories,1800,0.506,0.8170000000000001,11.0,-5.051,0.0,0.0335,0.00272,0.0,0.0486,0.506,109.952,208707.0,4.0,alternative,5,rock
2021-05-10 16:04:00,Bleachers,Rollercoaster,188866,0.421,0.79,10.0,-6.227,1.0,0.0538,0.00205,0.000309,0.148,0.279,162.024,188867.0,4.0,indie pop,14,funk
2021-05-10 16:08:00,"yours, andrew",Tell Me,225986,0.6709999999999999,0.69,8.0,-7.122000000000001,0.0,0.0383,0.131,0.000644,0.0793,0.6509999999999999,111.985,225987.0,4.0,indie pop,1,k-pop
2021-05-10 16:08:00,OVERSTREET,Man on the Moon,3950,0.669,0.565,11.0,-6.1560000000000015,1.0,0.0312,0.767,0.0345,0.0565,0.459,109.037,208813.0,4.0,chord overstreet,5,rock
2021-05-10 16:08:00,I DONT KNOW HOW BUT THEY FOUND ME,Absinthe,14226,0.608,0.845,9.0,-4.938,0.0,0.0641,0.00927,1.34e-05,0.332,0.518,123.991,183653.0,3.0,synthpop,11,pop
2021-05-10 16:11:00,Half the Animal,Hi Lo,202922,0.475,0.848,9.0,-5.535,0.0,0.263,0.00234,0.0,0.113,0.581,99.963,202922.0,4.0,alternative,3,indie pop
2021-05-10 16:12:00,Valley,Like 1999,14217,0.733,0.382,7.0,-7.955,1.0,0.0459,0.132,0.0,0.162,0.517,98.027,144743.0,4.0,melodic hardcore,2,indie
2021-05-10 16:15:00,Sam and Sounds,Cloud 9,199578,0.5429999999999999,0.726,7.0,-8.868,1.0,0.0437,0.000187,0.0,0.0427,0.505,94.974,199579.0,4.0,indie,2,indie
2021-05-10 16:26:00,4 Door Theatre,Tightrope,620,0.696,0.716,11.0,-5.761,1.0,0.0396,0.0383,1.09e-05,0.0761,0.967,149.961,216267.0,4.0,alternative,5,rock
2021-05-10 16:26:00,david hugo,Dangerous,1160,0.828,0.5820000000000001,6.0,-7.331,0.0,0.276,0.074,0.0,0.192,0.675,111.99,171875.0,4.0,indie,10,hip-hop
2021-05-10 16:26:00,The Ready Set,There Are Days,3560,0.599,0.8540000000000001,11.0,-3.755,1.0,0.0421,0.0484,0.0,0.146,0.588,112.006,189307.0,4.0,powerpop,5,rock
2021-05-10 16:26:00,Paul Simon,50 Ways to Leave Your Lover,2060,0.815,0.3720000000000001,7.0,-12.814,1.0,0.0752,0.166,0.000116,0.0767,0.293,101.684,217347.0,4.0,singer-songwriter,2,indie
2021-05-10 16:26:00,Last Youth,Too Soon,1270,0.725,0.7609999999999999,3.0,-4.413,1.0,0.0326,0.0397,0.0,0.103,0.529,133.516,187079.0,4.0,indie,9,electronic
2021-05-10 19:04:00,Surfaces,Wave of You,1270,0.695,0.6559999999999999,1.0,-6.037999999999999,1.0,0.0489,0.057,0.0,0.267,0.346,90.986,213842.0,4.0,soul,4,j-pop
